date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:18:43	4806/4806	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Sep%202013%2002:43:50%20GMT	http://jessicapphotography.com/robots.txt		(from )
13:18:43	5101/5101	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Apr%202014%2008:26:39%20GMT	http://jessicapphotography.com/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/6d/index.html	(from )
13:18:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:18:44%20GMT	http://jessicapphotography.com/deutsch/impressum	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/6a/deutsch/impressum.html	(from http://jessicapphotography.com/)
13:18:45	20235/20235	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:18:45%20GMT	http://jessicapphotography.com/deutsch/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/50/deutsch/index.html	(from http://jessicapphotography.com/)
13:18:46	21605/21605	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:18:45%20GMT	http://jessicapphotography.com/deutsch/impressum/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/33/deutsch/impressum/index.html	(from http://jessicapphotography.com/)
13:18:46	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2021%20Nov%202015%2018:18:46%20GMT	http://jessicapphotography.com/deutsch/xmlrpc.php	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/50/deutsch/xmlrpc.php	(from http://jessicapphotography.com/deutsch/)
13:18:48	1754/1754	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Nov%202015%2018:18:48%20GMT	http://jessicapphotography.com/deutsch/wp-content/plugins/ajaxd-wordpress/js/core.css.php	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/ea/deutsch/wp-content/plugins/ajaxd-wordpress/js/core.css.css	(from http://jessicapphotography.com/deutsch/)
13:18:48	14161/14161	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:18:48%20GMT	http://jessicapphotography.com/english/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/b1/english/index.html	(from http://jessicapphotography.com/)
13:18:49	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:18:49%20GMT	http://jessicapphotography.com/deutsch/jessica	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/ce/deutsch/jessica.html	(from http://jessicapphotography.com/deutsch/)
13:18:51	453/453	---MCZ	200	added ('OK')	text/css	date:Sat,%2021%20Nov%202015%2018:18:49%20GMT	http://jessicapphotography.com/deutsch/?custom-css=1&csblog=1&cscache=6&csrev=2	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/c8/deutsch/index.html870dba8d4a0dbd4f37caafb49123759e	(from http://jessicapphotography.com/deutsch/)
13:18:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:18:51%20GMT	http://jessicapphotography.com/deutsch/sessions	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/4c/deutsch/sessions.html	(from http://jessicapphotography.com/deutsch/)
13:18:52	22802/22802	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:18:52%20GMT	http://jessicapphotography.com/deutsch/jessica/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/17/deutsch/jessica/index.html	(from http://jessicapphotography.com/deutsch/)
13:18:52	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:18:52%20GMT	http://jessicapphotography.com/deutsch/preise	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/13/deutsch/preise.html	(from http://jessicapphotography.com/deutsch/)
13:18:53	23441/23441	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:18:53%20GMT	http://jessicapphotography.com/deutsch/sessions/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/b0/deutsch/sessions/index.html	(from http://jessicapphotography.com/deutsch/)
13:18:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:18:53%20GMT	http://jessicapphotography.com/deutsch/presse	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/63/deutsch/presse.html	(from http://jessicapphotography.com/deutsch/)
13:18:59	20552/20552	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:18:53%20GMT	http://jessicapphotography.com/deutsch/preise/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/a3/deutsch/preise/index.html	(from http://jessicapphotography.com/deutsch/)
13:18:59	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:18:54%20GMT	http://jessicapphotography.com/deutsch/portfolio	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/0b/deutsch/portfolio.html	(from http://jessicapphotography.com/deutsch/)
13:19:00	24915/24915	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:18:54%20GMT	http://jessicapphotography.com/deutsch/presse/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/a8/deutsch/presse/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:00	21353/21353	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:00%20GMT	http://jessicapphotography.com/deutsch/mentoring-sessions/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/c5/deutsch/mentoring-sessions/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:00%20GMT	http://jessicapphotography.com/deutsch/newsblog	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/20/deutsch/newsblog.html	(from http://jessicapphotography.com/deutsch/)
13:19:01	21857/21857	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:00%20GMT	http://jessicapphotography.com/deutsch/portfolio/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/cc/deutsch/portfolio/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:01%20GMT	http://jessicapphotography.com/deutsch/kontaktformular	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/7a/deutsch/kontaktformular.html	(from http://jessicapphotography.com/deutsch/)
13:19:02	44447/44447	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:01%20GMT	http://jessicapphotography.com/deutsch/newsblog/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/8c/deutsch/newsblog/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:02	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:02%20GMT	http://jessicapphotography.com/deutsch/berlinlove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/58/deutsch/berlinlove.html	(from http://jessicapphotography.com/deutsch/)
13:19:02	25111/25111	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:02%20GMT	http://jessicapphotography.com/deutsch/kontaktformular/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/db/deutsch/kontaktformular/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:03	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:03%20GMT	http://jessicapphotography.com/deutsch/mamalove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/a2/deutsch/mamalove.html	(from http://jessicapphotography.com/deutsch/)
13:19:03	26133/26133	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:03%20GMT	http://jessicapphotography.com/deutsch/berlinlove/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/59/deutsch/berlinlove/index.html	(from http://jessicapphotography.com/deutsch/)
13:19:04	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2021%20Nov%202015%2018:19:03%20GMT	http://jessicapphotography.com/deutsch/foodlove	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/c0/deutsch/foodlove.html	(from http://jessicapphotography.com/deutsch/)
13:19:04	26136/26136	---MCZ	200	added ('OK')	text/html	date:Sat,%2021%20Nov%202015%2018:19:04%20GMT	http://jessicapphotography.com/deutsch/mamalove/	/mnt/ssd/pkoehn/site-crawl/jessicapphotography.com.2015-11-21/jessicapphotography.com/d8/deutsch/mamalove/index.html	(from http://jessicapphotography.com/deutsch/)
